variant	layer	system	TF	selected_samples	half_sample_threshold	motif_enriched_samples	support_at_least_half
B2	NKX2_1_high_TRU_concordant	patient	ZNF75D	5	3	5	TRUE
B2	NKX2_1_high_TRU_concordant	PDX	ZNF75D	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B2	NKX2_1_high_TRU_concordant	cell_line	ZNF75D	3	2	1	FALSE
B3	TRU_like	patient	CREB3L2	6	3	5	TRUE
B3	TRU_like	PDX	CREB3L2	5	3	1	FALSE
B3	TRU_like	cell_line	CREB3L2	10	5	0	FALSE
B3	TRU_like	patient	E2F5	6	3	6	TRUE
B3	TRU_like	PDX	E2F5	5	3	2	FALSE
B3	TRU_like	cell_line	E2F5	10	5	7	TRUE
B3	TRU_like	patient	ELF3	6	3	3	TRUE
B3	TRU_like	PDX	ELF3	5	3	0	FALSE
B3	TRU_like	cell_line	ELF3	10	5	0	FALSE
B3	TRU_like	patient	ETV1	6	3	6	TRUE
B3	TRU_like	PDX	ETV1	5	3	1	FALSE
B3	TRU_like	cell_line	ETV1	10	5	3	FALSE
B3	TRU_like	patient	FOXA3	6	3	6	TRUE
B3	TRU_like	PDX	FOXA3	5	3	2	FALSE
B3	TRU_like	cell_line	FOXA3	10	5	10	TRUE
B3	TRU_like	patient	FOXD2	6	3	5	TRUE
B3	TRU_like	PDX	FOXD2	5	3	0	FALSE
B3	TRU_like	cell_line	FOXD2	10	5	0	FALSE
B3	TRU_like	patient	NFATC4	6	3	6	TRUE
B3	TRU_like	PDX	NFATC4	5	3	2	FALSE
B3	TRU_like	cell_line	NFATC4	10	5	10	TRUE
B3	TRU_like	patient	NR3C2	6	3	5	TRUE
B3	TRU_like	PDX	NR3C2	5	3	0	FALSE
B3	TRU_like	cell_line	NR3C2	10	5	0	FALSE
B3	TRU_like	patient	XBP1	6	3	6	TRUE
B3	TRU_like	PDX	XBP1	5	3	2	FALSE
B3	TRU_like	cell_line	XBP1	10	5	5	TRUE
B3	TRU_like	patient	ZBTB18	6	3	0	FALSE
B3	TRU_like	PDX	ZBTB18	5	3	0	FALSE
B3	TRU_like	cell_line	ZBTB18	10	5	0	FALSE
B3	TRU_like	patient	ZNF141	6	3	2	FALSE
B3	TRU_like	PDX	ZNF141	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF141	10	5	1	FALSE
B3	TRU_like	patient	ZNF19	6	3	0	FALSE
B3	TRU_like	PDX	ZNF19	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF19	10	5	0	FALSE
B3	TRU_like	patient	ZNF254	6	3	0	FALSE
B3	TRU_like	PDX	ZNF254	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF254	10	5	0	FALSE
B3	TRU_like	patient	ZNF281	6	3	4	TRUE
B3	TRU_like	PDX	ZNF281	5	3	2	FALSE
B3	TRU_like	cell_line	ZNF281	10	5	5	TRUE
B3	TRU_like	patient	ZNF33A	6	3	0	FALSE
B3	TRU_like	PDX	ZNF33A	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF33A	10	5	0	FALSE
B3	TRU_like	patient	ZNF33B	6	3	0	FALSE
B3	TRU_like	PDX	ZNF33B	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF33B	10	5	0	FALSE
B3	TRU_like	patient	ZNF341	6	3	4	TRUE
B3	TRU_like	PDX	ZNF341	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF341	10	5	0	FALSE
B3	TRU_like	patient	ZNF444	6	3	6	TRUE
B3	TRU_like	PDX	ZNF444	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF444	10	5	0	FALSE
B3	TRU_like	patient	ZNF540	6	3	3	TRUE
B3	TRU_like	PDX	ZNF540	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF540	10	5	0	FALSE
B3	TRU_like	patient	ZNF75D	6	3	0	FALSE
B3	TRU_like	PDX	ZNF75D	5	3	0	FALSE
B3	TRU_like	cell_line	ZNF75D	10	5	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	CREB3L2	5	3	4	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	CREB3L2	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	CREB3L2	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	E2F5	5	3	5	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	E2F5	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	E2F5	3	2	2	TRUE
B3	NKX2_1_high_TRU_concordant	patient	ELF3	5	3	2	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ELF3	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ELF3	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ETV1	5	3	5	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	ETV1	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ETV1	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	FOXA3	5	3	5	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	FOXA3	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	FOXA3	3	2	3	TRUE
B3	NKX2_1_high_TRU_concordant	patient	FOXD2	5	3	4	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	FOXD2	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	FOXD2	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	NFATC4	5	3	5	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	NFATC4	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	NFATC4	3	2	3	TRUE
B3	NKX2_1_high_TRU_concordant	patient	NR3C2	5	3	4	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	NR3C2	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	NR3C2	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	XBP1	5	3	5	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	XBP1	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	XBP1	3	2	1	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZBTB18	5	3	0	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ZBTB18	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZBTB18	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF141	5	3	2	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF141	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF141	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF19	5	3	0	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF19	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF19	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF254	5	3	0	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF254	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF254	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF281	5	3	4	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF281	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF281	3	2	2	TRUE
B3	NKX2_1_high_TRU_concordant	patient	ZNF33A	5	3	0	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF33A	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF33A	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF33B	5	3	0	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF33B	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF33B	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF341	5	3	3	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF341	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF341	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF444	5	3	5	TRUE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF444	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF444	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF540	5	3	2	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF540	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF540	3	2	0	FALSE
B3	NKX2_1_high_TRU_concordant	patient	ZNF75D	5	3	0	FALSE
B3	NKX2_1_high_TRU_concordant	PDX	ZNF75D	0	NA	0	NOT_EVALUABLE_NO_MATCHED_RNA
B3	NKX2_1_high_TRU_concordant	cell_line	ZNF75D	3	2	0	FALSE
